company_id,industry_name,industry_detail,industry_large,industry_medium,industry_small
37015,医療機器、農業資材,"《 医療用機器・器具・備品の開発、製造及び販売 》 
《 農業用生産資材の開発・製造及び販売 》 

■それぞれの事業について 

【 医療機器 medical device 】----------------------------------------- 

◎処置キット（シーパックα、ESキット等） 
◎外皮消毒剤 
（1回使い切りの単包容器に充填した衛生的かつ経済的な外皮消毒剤等） 
◎透析用品（人工透析に必要な鉗子・止血バンド・絆創膏等） 
◎抗菌炭酸温浴剤（足温剤） 

◆「人工透析ケアセット　シーパックα」とは 
人工透析用ディスポキットのパイオニアとして20年。絶えずお客様の声に耳を傾け、現場のニーズに合わせたものづくりを進めて参りました。弊社の主力商品であります単回使用クラスＩ処置キット「シーパックα」も現場の声を形にしたのが始まりです。 

従来は病院や処置現場で処置用のガーゼや綿棒などの衛生材料を準備していましたが、更に滅菌処理も必要で、人的負担や設備にかかるコストが発生しておりました。 

そこで、処置に必要な衛生材料を1つのパッケージに詰合せて、なおかつ滅菌処理まで完了させる事で現場で使用する時まで清潔な状態を保てば現場負担とコストを軽減できると考え、弊社の代表である中村が商品化したのが1991年でした。 

当初はパッケージされたキットという概念は少なかったのですが、次第に認知されて現在では多くの医療機関で弊社の製品は使用されております。 

◆医療業界への貢献 
非常に幅広い医療従事者の方より、「正しく無駄なく処置ができる」と、弊社製品は好評をいただいております。まだまだ様々なニーズが眠っている医療現場において、私たちの技術を提案し続け、人々の生活から切り離すことのできない医療業界に大きく貢献していきたいと考えております。 


【 農業資材 agriculture 】---------------------------------------------- 

◎接木用資材（接木テープ、接木固定テープ、切口面保護フィルム等） 
◎いちご高設栽培用資材（アグリス多段式高設栽培システム等） 
◎いちご用資材（培土、肥料、液肥等） 
◎果樹用資材（果実類採果鋏、収穫用袋等）があります。 

◆「接木テープ（メデール・ニューメデール・BuddyTape）」とは 
接木とは、柑橘類やぶどうなどの果物の品種更新を行う際、新しい品種の穂木を既存の台木に結合させる、古来よりある農業技術の一つです。従来のPEテープを用いる手法では、接木成功率が低く、作業効率も悪いというのが現状でした。また、化学製品であるため、土壌汚染も引き起こしていました。 

その問題を解決し、農業をより良いものにしたい。その思いから生まれたのが、弊社の接木テープでした。開発・改良を重ね、接木の成功率はほぼ100%、また天然由来原料のため、土壌汚染も起こりません。 

国内では「メデール（離隔紙有）」「ニューメデール（離隔紙無）」、海外ではニューメデールを「BuddyTape」という商品名で販売しております。当社の接木テープは今では接木業界のオンリーワン商品となり、世界30ヶ国以上で広く利用されております。 

◆「アグリス多段式高設栽培システム」とは 
従来のいちご栽培方法である土耕栽培では、葉などが太陽光をさえぎり、果実の均一な着色が促進できないことがありました。また、収穫時等には腰を屈めた姿勢で行う作業が発生し、特に高齢の農業従事者にとって、非常に大変な作業となっていました。 

これらの課題に対して生み出されたのが弊社の「アグリス多段式高設栽培システム」です。栽培槽を地面より高い位置に配置し、作業負担の軽減、作業効率の向上を実現しました。近年、農家の高齢化が各いちご産地の悩みとなっております。弊社のシステムは土耕栽培を高設栽培化する事で、作業負担の軽減、作業効率の向上を実現し、産地活性化につなげる取組みを行っております。 

産地活性化の事例として、JA越谷市から「都市型農業経営者育成支援事業」において研修指導の業務委託を受けることができ、環境にやさしい資源循環型施設、埼玉県越谷市農業技術センターに弊社のいちご高設栽培システムが2010年7月より導入されたことが挙げられます。いちご高設栽培システム導入後、栽培指導も弊社にて行っています。 

また、関連会社の玄農舎が2015年より長野県伊那市に自社圃場を開設し、夏秋いちごの栽培をはじめました。今後も日本全国で当社のシステムの導入が計画されています。 

****************************************************** 
医療、農業の2つの事業は、ともに人々にとって最も身近で、 
そして今後も永遠に良好な関係を続けていく普遍的な産業です。 
アグリスは、世の中のニーズにオーダーメイドで応え続け、 
常に革新的な新しい価値を世の中に生み出していくべく、日々努力しています。 
******************************************************",メディカル（メーカー／商社／医療機関／医療サービス）,卸売／商社／代理店（メディカル）,医療機器卸／代理店
38365,児童福祉施設（保育所）,"千葉１園、都内４園（＋2025年度４月より東京都北区にて指定管理園として「中里保育園」を運営開始予定）にて、0歳～５歳児対象の認可保育園を運営する社会福祉法人です。
【園紹介】
＜東京都＞　
・町屋保育園　（荒川区町屋駅）
・水神橋保育園　（足立区竹ノ塚駅）
・滝野川西保育園　（北区板橋駅）
・浮間さくら草保育園　（北区北赤羽駅）
・※中里保育園【2025年4月より運営開始。オープニングスタッフ募集中！】　（北区駒込駅）
＜千葉県＞
・聖華保育園　（千葉県野田市：車通勤推奨）

【保育理念】
【その他の主な事業】
・延長スポット保育 
・一時保育
・年末特別保育
・地域交流事業
・育児相談　等",美容／フィットネス／教育／冠婚葬祭,保育,保育所／こども園運営
40172,貨物自動車運送事業,当社は食品物流をおこなっており、大手乳業メーカー様、製パンメーカー様、コンビニ向けの惣菜工場様、お弁当工場様などからお仕事を安定的にいただいております。基本はルート配送ですので、生活のリズムが作りやすく、職場環境も比較的アットホームな感じの会社です。その理由と一つとして、従業員様の意見が届く仕組みが出来ており、そういった意見や提案を取り入れた制度や取り組みがたくさんあることだと思います。最近ではパーカーの制服を作り、全従業員様に配布いたしました。社内の交流や親睦のイベントも多く、ボウリング大会や屋形船親睦会などを定期的に開催しております。,運輸／物流／倉庫,物流／運送／引越し／倉庫,運送／貨物運送
43866,総合園芸業,"・野菜種子／野菜花卉種子の育種/開発・病理/遺伝子検査・生産/販売及び輸出入/技術指導
・花卉園芸／花卉・球根・盆栽・苗木・用土・肥料等の生産・卸売及び輸出入
・園芸用資材／各種園芸用資材・農業用機器の卸売及び輸出入
・造園緑化／環境緑化に関する造園工事の設計・施工・管理
・公園管理／指定管理公園の運営",その他,その他,その他
45596,人材サービス事業,日本国内の観光地、リゾート地に特化をした人材サービス（人材派遣、紹介予定派遣、職業紹介）を提供しています。,人材／アウトソーシング／コールセンター,人材サービス,人材派遣
48883,ティーバッグ、コーヒードリップバッグ,"当社はコーヒー、お茶、だしなど主に食品用で使われるフィルターを製造しています。創業以来、安定して業績を伸ばし、業界でもトップレベルのメーカーになりました。現在も事業は安定して成長を続けています。

製品の多くが広く世の中で使われており、世界50カ国以上で愛されています。従来は「ティーバッグのお茶はおいしくない」という概念がありましたが、不織布ティーバッグを開発することによって「ティーバッグのお茶も急須で淹れたお茶と変わらないおいしさ」という概念に塗り替えたのが当社です。

40年以上にわたり、専門メーカーとして培ってきたノウハウを活かし、これからもお客様の期待に応えられるよう成長を続けます。

メーカーとして高度な専門性が必要とされる仕事がたくさんあり、自分の能力を試したいと思っている方は活躍できる会社です。あなたも個性を活かし、スペシャリストとして活躍しませんか？

◇◆当社の製品◆◇
◎当社のフィルターは、世界50ケ国以上で愛用されています。
●ティーバッグフィルター
●紗パチット　お茶用ドリップバッグ
●パチット　コーヒードリップバッグ
●サスティコ　生分解性フィルター

◇◆当社の社内環境◆◇
平均年齢　　　　34歳
平均勤続年数　　7年",メーカー（鉱業／資源／エネルギー／化学／素材）,メーカー（化学／素材）,メーカー（紙／パルプ／紙製品／包装梱包資材）
49214,,"ソフトウェアの設計･開発・検証・評価
パッケージ開発、導入、保守および販売
銀行ソリューション、コンサルティング（T-24/Flexcube）
AWSおよび機械学習、生成AIを活用したシステムの企画・開発および運用など",IT／インターネット／ゲーム／通信,IT／通信サービス,システムインテグレータ
50891,ダイコー化学工業株式会社,プラスティック樹脂成形、組立て等が中心です。,メーカー（電気／機械）,メーカー（その他電気／機械）,メーカー（その他電気／機械）
54144,医療法人恭昭会　彦根中央病院,"当院は1970 年 4 月に 開設いたしました。当初より、曜日に関係なく発症する病気や怪我に対応し地域住民の「安心・安全」に寄与すべく、土曜・日曜の通常診療を続け湖東地域 における 365 日医療を受けることができる地域づくりに努め、また地域の医療ニーズに応じて増床を行って参りました。
病床数は一般病棟44床、障がい者病棟106床、医療型療養病棟96床、回復期リハビリテーション病棟40床、計286床と介護医療院60床、外来16の診療科を持つ医療機関です。入院は回復期、慢性期が中心となります。
今後、「地域包括ケアシステム」を踏まえて、地域の高齢者の方々が住み慣れた地域で安心して暮らし続けられるよう、当病院の入院医療機能に加えて訪問診療、訪問リハビリ、通所リハビリ、居宅介護支援の在宅療養支援部門の更なる充実を図り、より一層地域との連携を維持、強化し地域の皆様へ貢献して参ります。",メディカル（メーカー／商社／医療機関／医療サービス）,一般病院／診療所,病院／医院／診療所／クリニック
61236,運輸・倉庫業,"岸壁に着いた船舶からの貨物の陸揚げ･船積み（港湾荷役）、倉庫での保管および梱包、陸上／海上輸送、
海外案件で輸出入が発生する場合の通関、納品先での現地工事（据付・解体・メンテナンス等）が主な事業であり、
これらを当社のみで一気通貫で行う「複合一貫輸送」を強みとしています。",運輸／物流／倉庫,物流／運送／引越し／倉庫,運送／貨物運送
65480,株式会社神戸新聞総合印刷,"神戸新聞総合印刷は1983年（昭和58年）4月に誕生しました。
「神戸新聞グループの一翼として地域社会の発展、充実に寄与する」ことを社是に掲げ、『神戸新聞』の印刷を中心に、商業印刷やWeb制作、映像制作、広告、書籍出版など幅広い事業を展開している当社。
WebやSNSを活用したプロモーションなど、デジタルマーケティングの分野にも注力し、時代のニーズに合った事業を展開しています。
新聞印刷部門では、2019年に新設された播磨印刷センターは、最新の機材が揃うフルオートメーションの工場。
地域の小中学校から社会見学に利用されています。",メディア／出版／芸能／音楽／広告／印刷,通信社／新聞,地方紙
66873,,"当社は、東証プライム上場企業MIRARTHホールディングスグループ会社として、戸建分譲・建築・土地活用の3 つの事業を展開しております。
今回は、その中の戸建分譲事業の中心となる部門にて、首都圏（東京・埼玉・千葉中心）エリアの戸建住宅ご購入者様との契約締結業務・住宅ローン斡旋業務をお任せします。",その他,その他,その他
85490,川口化学工業株式会社,有機化学薬品（ゴム薬品・樹脂薬品・中間体　等）の製造及び販売,メーカー（鉱業／資源／エネルギー／化学／素材）,メーカー（化学／素材）,メーカー（化学薬品）
85589,学校法人　聖母女学院,"京都藤森キャンパスは保育園・プリスクール・小学校・中学校・高等学校を有しています。
大阪香里キャンパスは小学校・中学校・高等学校を有しています。",美容／フィットネス／教育／冠婚葬祭,保育,保育所／こども園運営
111227,食品共同配送事業,食品共同配送事業,運輸／物流／倉庫,物流／運送／引越し／倉庫,運送／貨物運送
118692,医療・介護・福祉・保育,"こうあるべきというこちらの考えを相手に押し付けず、笑顔で患者様の想いをお聞きし、その想いに添う治療を提供していく事が、大切だと考えています。

良好な治療結果を提供するためには、原因を指摘するだけではなく、患者様やご家族と一緒に考え、相手を肯定し、共感しながらコミュニケーションを深めていくことが大切です。最近ではチームでかかわる「オープンダイアローグ」に注目しています。対話を続け広げ、深めることを目指し、「その人の世界」を大切にします（ナラティブアプローチ）。

私たちは「笑顔を作る」いう理念を大切にしています。

スタッフの人間力を高めるために常にユニークな取り組みにチャレンジし、笑顔で日本一の職場を目指して参ります。その取り組みの一つとしてユマニチュード（人間らしく）研修を全員が参加し日常での実践に努めています。",メディカル（メーカー／商社／医療機関／医療サービス）,一般病院／診療所,病院／医院／診療所／クリニック
127206,病院,"東京都指定2次救急医療機関として救急医療を中心として地元密着の外来診療及び健康診断などを行っている。
病棟（90床）は、急性期一般病棟（60床）地域包括病棟（30床）となっており、地元の方が地元の病院でかかりつけ医として来院していただき、検査、診療を経て入退院され、リハビリを強化してご自宅に帰宅されるように努めております。",メディカル（メーカー／商社／医療機関／医療サービス）,一般病院／診療所,病院／医院／診療所／クリニック
127595,木造戸建分譲開発,"【分譲住宅の供給を通してひとりでも多くのお客様に豊かさを】
  ・新築分譲事業
　（用地仕入れ～設計～施工～販売～アフターメンテナンス）
  ・建築の企画・設計・デザイン・建設
　・リフォーム・アフターメンテナンス
  ・不動産の売買・仲介",建設／プラント／不動産,ディベロッパー／ハウスメーカー／リフォーム／リノベーション,ハウスメーカー／工務店
164319,自動車レース場,"レースの企画・運営に加え、自社イベントの企画・運営や法人のお客様に向け、各施設のレンタル・プランニング事業および場内看板のスポンサー事業を実施。
また、個人のお客様に向けて、ライセンス事業も実施している。",レジャー／アミューズメント／旅行／宿泊／スポーツ,その他（レジャー／アミューズメント／旅行／宿泊／スポーツ）,その他（レジャー／アミューズメント／旅行／宿泊／スポーツ）
167680,医療法人正翔会,在宅医療専門クリニックとして訪問医療サービスを提供しています。また、訪問医療を提供している患者様を対象として訪問看護、訪問リハビリテーションも提供しています。,メディカル（メーカー／商社／医療機関／医療サービス）,一般病院／診療所,病院／医院／診療所／クリニック
174525,精密部品製造,"【自動車向け】
・電子制御サスペンションバルブ（コンティヌアスリ・コントロールド・エロクトロニック・サスペンションバルブ）
・燃料ポンプ脈動制振部品（ダイアフラムダンパー）
・車高検知センサー（ポテンショメーター）
・エアーバルブ（チェックバルブ）
・ブレーキ/サスペンション衝撃吸収装置（アキュムレータ）
・各種車載機器制御関連部品（ソレノイドバルブ・アクチュエータなど）
【建設/産業機械向け】
・キャタピラー軸シール（トラックローラー用フローティングシール）
・油圧圧力干渉部品（アキュムレーター）
・その他精密部品",メーカー（部品製造／加工）,メーカー（部品製造／金型／ベアリング）,メーカー（金属部品）
194387,介護・福祉・保育,"こうあるべきというこちらの考えを相手に押し付けず、笑顔で患者様の想いをお聞きし、その想いに添う治療を提供していく事が、大切だと考えています。

良好な治療結果を提供するためには、原因を指摘するだけではなく、患者様やご家族と一緒に考え、相手を肯定し、共感しながらコミュニケーションを深めていくことが大切です。最近ではチームでかかわる「オープンダイアローグ」に注目しています。対話を続け広げ、深めることを目指し、「その人の世界」を大切にします（ナラティブアプローチ）。

私たちは「笑顔を作る」いう理念を大切にしています。

スタッフの人間力を高めるために常にユニークな取り組みにチャレンジし、笑顔で日本一の職場を目指して参ります。その取り組みの一つとしてユマニチュード（人間らしく）研修を全員が参加し日常での実践に努めています。",福祉介護／保健衛生／療術,福祉／介護,介護／福祉サービス
237091,専門学校、幼稚園（こども園）,"中央歯科衛生士調理製菓専門学校（調理製菓総合学科・歯科衛生学科）・中央調理製菓専門学校静岡校（上級調理経営学科・調理師科・製菓衛生師科）・富士メカニック専門学校（令和6年度から中央メカニック自動車大学校に校名変更：自動車整備科）・専門学校中央医療健康大学校（理学療法学科・スポーツ柔整学科・柔整健康学科・トータルケア鍼灸学科・歯科衛生学科）・中央動物総合専門学校（愛玩動物看護学科・動物総合学科）・しらゆり幼稚園（認定こども園）
※詳細：https://suzuki.ac.jp",学校／研究機関,その他（学校／研究機関）,その他（学校／研究機関）
344113,ソフトウェア事業・AI事業,"■ソフトウェア事業
全世界で1億ユーザーを誇るセキュリティソフト「KINGSOFT Internet Security」をはじめ、使いやすさとコストパフォーマンスに優れた総合Officeソフト「WPS Office（旧製品名:KINGSOFT Office）」を提供しています。高品質のものを無料や低価格で提供することにより、数多くのユーザーにご愛顧いただいています。

■AI事業
デジタル革命に対応し、先端技術を切り口に、新ビジネスモデルへの挑戦に取り組むべく、完全自立走行型のサービスAIロボット「ORION STAR AIサービスロボット」を取り扱っています。「労働人口の減少」と「買い物弱者への対応人員の代替」として2020年から日本での販売を開始しています。",IT／インターネット／ゲーム／通信,ネット／EC／SNS／アプリ／IoT／ビッグデータ,クラウド
353218,冠婚葬祭互助会業,"静岡県内において、婚礼施設を２か所、葬祭施設を５７か所運営しております。
【冠婚事業内容】
○神前式・キリスト教式の挙行
○その他各種結婚式の挙行
○ご披露宴の開催
○結納など祝儀に関する儀式のご提供
○各種パーティー・ご宴会・会議などの開催
○ディナーショーなど各種イベントの開催

【葬祭事業内容】
○各種葬儀の施行
○法事・法要に関するアドバイスおよび手配
○仏壇・仏具・墓所・墓石・他用品の紹介
○料理・返礼品の手配
○生花等供物の手配
○エンバーミングの施行

【割賦販売に基づく互助会事業】",美容／フィットネス／教育／冠婚葬祭,その他（美容／フィットネス／教育／冠婚葬祭）,その他（美容／フィットネス／教育／冠婚葬祭）
357841,総合不動産業（不動産売買仲介・賃貸仲介・リフォーム）,"不動産売買仲介／不動産賃貸仲介／リフォーム／不動産販売事業／不動産再生事業／
不動産有効活用の企画立案／販売代理事業／その他周辺関連事業",建設／プラント／不動産,不動産仲介／不動産管理／設備メンテナンス,不動産仲介（売買）
381471,介護事業,認知症対応型共同生活介護・小規模多機能型居宅介護・通所介護・地域密着型通所介護・居宅介護支援,福祉介護／保健衛生／療術,福祉／介護,介護福祉施設／デイサービス
436250,新須磨病院,慈恵会グループの中核である新須磨病院は、病床数147ながら内科、循環器内科、外科、心臓血管外科、形成外科、整形外科、脳神経外科、脳神経内科、心療内科、泌尿器科、眼科、婦人科、歯科、歯科口腔外科、耳鼻咽喉科、皮膚科、リハビリテーション科（理学療法、作業療法、言語療法、視能訓練）、放射線科、麻酔科と19の診療科を有しており、様々な経験を積むことができます。,メディカル（メーカー／商社／医療機関／医療サービス）,一般病院／診療所,病院／医院／診療所／クリニック
636232,本社,"歯科医院や歯科大学で使用されている歯科医療機器の企画・開発・製造・販売を行っております。また製造・販売にとどまらず、メンテナンスや修理までを一貫して手掛けております。全国の歯科医院、歯科大学をはじめとする教育機関、研究機関など、さまざまな場所で当社の製品をお使いいただいています。
業界初のセントラルサクションシステムの開発・製造・販売に成功し、国内トップシェアを誇っております。",メディカル（メーカー／商社／医療機関／医療サービス）,メーカー（メディカル）,メーカー（医療機器）
643521,株式会社小倉,メーカーから仕入れたお酒や飲料を、首都圏を中心とした飲食店へお届けする業務⽤酒類販売を行っております。,専門商社（食料品／飲料／たばこ／飼料）,専門商社（その他食料品／飲料／たばこ／飼料）,専門商社（その他食料品／飲料／たばこ／飼料）
